Move title,Release year,Director,Cast,Rating,Users rated,Href
Your Name.,2016,Makoto Shinka,"Ryunosuke Kamiki, Mone Kamishiraishi",8.3,288875,/title/tt5311514/
3 Idiots,2009,Rajkumar Hiran,"Aamir Khan, Madhavan",8.3,411962,/title/tt1187043/
Singin' in the Rain,1952,Stanley Donen,"Gene Kelly, Donald O'Connor",8.3,249598,/title/tt0045152/
High and Low,1963,Akira Kurosawa,"Toshirô Mifune, Yutaka Sada",8.3,48059,/title/tt0057565/
Requiem for a Dream,2000,Darren Aronofsky,"Ellen Burstyn, Jared Leto",8.3,863605,/title/tt0180093/
Capernaum,2018,Nadine Labak,"Zain Al Rafeea, Yordanos Shiferaw",8.3,95764,/title/tt8267604/
Toy Story 3,2010,Lee Unkrich,"Tom Hanks, Tim Allen",8.3,857634,/title/tt0435761/
Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquan,"Mark Hamill, Harrison Ford",8.3,1080343,/title/tt0086190/
Come and See,1985,Elem Klimov,"Aleksey Kravchenko, Olga Mironova",8.3,86586,/title/tt0091251/
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,"Jim Carrey, Kate Winslet",8.3,1033695,/title/tt0338013/
2001: A Space Odyssey,1968,Stanley Kubrick,"Keir Dullea, Gary Lockwood",8.3,687406,/title/tt0062622/
The Hunt,2012,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen",8.3,342682,/title/tt2106476/
Reservoir Dogs,1992,Quentin Tarantino,"Harvey Keitel, Tim Roth",8.3,1045550,/title/tt0105236/
Lawrence of Arabia,1962,David Lean,"Peter O'Toole, Alec Guinness",8.2,301915,/title/tt0056172/
Citizen Kane,1941,Orson Welles,"Orson Welles, Joseph Cotten",8.2,451561,/title/tt0033467/
M,1931,Fritz Lang,"Peter Lorre, Ellen Widmann",8.2,162035,/title/tt0022100/
Ikiru,1952,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko",8.2,82155,/title/tt0044741/
North by Northwest,1959,Alfred Hitchcock,"Cary Grant, Eva Marie Saint",8.2,335321,/title/tt0053125/
The Apartment,1960,Billy Wilde,"Jack Lemmon, Shirley MacLaine",8.2,187101,/title/tt0053604/
Vertigo,1958,Alfred Hitchcock,"James Stewart, Kim Novak",8.2,411718,/title/tt0052357/
Amélie,2001,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz",8.2,770972,/title/tt0211915/
Double Indemnity,1944,Billy Wilde,"Fred MacMurray, Barbara Stanwyck",8.2,161152,/title/tt0036775/
A Clockwork Orange,1971,Stanley Kubrick,"Malcolm McDowell, Patrick Magee",8.2,849804,/title/tt0066921/
Full Metal Jacket,1987,Stanley Kubrick,"Matthew Modine, R. Lee Ermey",8.2,760671,/title/tt0093058/
Hamilton,2020,Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo",8.2,102240,/title/tt8503618/
Scarface,1983,Brian De Palma,"Al Pacino, Michelle Pfeiffer",8.2,868882,/title/tt0086250/
Incendies,2010,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin",8.2,184867,/title/tt1255953/
Heat,1995,Michael Mann,"Al Pacino, Robert De Niro",8.2,679280,/title/tt0113277/
Up,2009,Pete Docte,"Edward Asner, Jordan Nagai",8.2,1073128,/title/tt1049413/
To Kill a Mockingbird,1962,Robert Mulligan,"Gregory Peck, John Megna",8.2,322872,/title/tt0056592/
The Sting,1973,George Roy Hill,"Paul Newman, Robert Redford",8.2,270089,/title/tt0070735/
A Separation,2011,Asghar Farha,"Payman Maadi, Leila Hatami",8.2,249953,/title/tt1832382/
